city,latitude,longitude,max_temperature,humidity,cloudiness,wind_speed
Hilo,19.73,-155.09,24,73,90,1.5
Missoula,47.02,-113.8,-2,54,90,5.7
Mar del Plata,-38,-57.56,13.33,100,95,2.6
Mitú,1.2,-70.17,22.11,92,98,0.45
Fort Nelson,58.81,-122.7,-3,58,90,1
Cotonou,6.37,2.42,29,83,40,0.5
Provideniya,64.38,-173.3,-2.1,97,100,2.01
Ribeira Grande,38.52,-28.7,14,82,20,3.6
Skowhegan,44.77,-69.72,0,84,0,1.34
Plyussa,58.43,29.37,6.84,58,100,4.66
Port Elizabeth,-33.92,25.57,22,53,20,3.1
Avarua,-21.21,-159.78,26,94,97,0.91
Troitskoye,52.98,84.68,9.16,54,0,3.17
Saint-Pierre,-21.34,55.48,27,78,23,10.8
Hermanus,-34.42,19.23,18.89,71,47,6.71
Tondano,1.3,124.91,31,62,20,4.6
Sinnamary,5.38,-52.95,26.28,77,100,6.19
Kununurra,-15.77,128.73,34,44,40,2.6
Umluj,25.02,37.27,25.84,32,1,5.25
Tuatapere,-46.13,167.68,16.11,80,99,2.24
Coquimbo,-29.95,-71.34,13,87,78,2.1
Thompson,55.74,-97.86,-13,78,90,3.6
Bagdarin,54.43,113.6,8.52,36,99,3.78
Oktyabr'skoye,43.06,44.74,6,81,90,6
Lüderitz,-26.65,15.16,19,59,0,6.2
Noumea,-22.28,166.46,23,94,60,1.5
Dingle,11,122.67,29.33,65,57,2.85
Mackay,-21.15,149.2,28,65,31,4.6
Portland,45.52,-122.68,10,53,1,1.5
Pionerskiy,54.95,20.23,10,34,100,6
San Patricio,19.22,-104.7,23.06,62,73,2.71
Xihe,31.69,113.47,21.05,32,0,3.81
Giyani,-23.3,30.72,33.66,20,0,1.55
North Bend,43.41,-124.22,8,75,90,3.1
Derzhavīnsk,51.1,66.32,14.22,33,0,6.53
Arraial do Cabo,-22.97,-42.03,22.76,68,99,1.52
Nikolskoye,59.7,30.79,4,55,99,3
Sokoni,-6.43,39.55,26.13,89,100,5.77
Atuona,-9.8,-139.03,27.89,68,19,2.61
Mataura,-46.19,168.86,16.11,80,97,2.24
Neuquén,-38.95,-68.06,12,66,55,1
Russell,32.35,-85.2,13,81,1,1.5
Lavrentiya,65.58,-171,-1.55,98,100,3.56
Pisco,-13.7,-76.22,21,88,40,4.1
Faanui,-16.48,-151.75,27.95,74,100,5.82
Yumen,40.28,97.2,18.38,10,17,2.54
Avera,33.19,-82.53,13,93,1,1.5
Stranda,62.31,6.94,6,93,100,6.7
Qaanaaq,77.48,-69.36,-9.98,74,100,2.74
Kavieng,-2.57,150.8,29.51,71,100,2.71
Saint-Philippe,-21.36,55.77,27,78,30,10.8
Quatre Cocos,-20.21,57.76,29,66,40,8.7
Medveda,56.51,92.41,9,31,0,7
Narsaq,60.92,-46.05,4,41,100,29.8
Mogadishu,2.04,45.34,32,59,75,5.7
Ladário,-19,-57.6,19.5,67,0,0.19
Saskylakh,71.92,114.08,-6.96,94,99,7.23
Brylivka,46.42,33.15,8.89,42,1,1.79
Nelson Bay,-32.72,152.15,18,55,0,3.6
Plettenberg Bay,-34.05,23.37,22.37,57,96,10.07
Gaspar,-26.93,-48.96,16.67,96,46,0.93
Laguna,38.42,-121.42,12.22,87,1,4.1
Barra de Tecoanapa,16.52,-98.75,23.26,78,9,1.05
Severomuysk,56.15,113.43,-3.75,63,100,3.79
Raja,8.46,25.68,33.92,10,99,2.88
Sitka,57.05,-135.33,2,69,40,1.25
Syracuse,37.09,15.28,17.22,67,1,1
Quarteira,37.07,-8.1,15,87,40,2.6
Kushima,31.46,131.23,15,82,75,7.2
Cherskiy,68.75,161.3,-7.03,96,79,5.1
Dumas,35.87,-101.97,17,20,1,8.2
Waingapu,-9.66,120.26,28.01,73,88,2.15
Itoman,26.12,127.67,17,63,75,13.9
Sogod,10.38,124.98,28.9,59,19,0.38
Babu,24.42,111.52,19.35,41,21,4.54
Flin Flon,54.77,-101.86,-13.58,92,99,2.1
Vanimo,-2.67,141.3,27.49,82,100,2.58
Bengkulu,-3.8,102.27,29.77,72,47,2.95
La Rioja,42.25,-2.5,11,87,75,2.1
Airai,-8.93,125.41,18.07,73,100,1.01
Camacha,33.08,-16.33,17,77,40,6.7
Kaitangata,-46.28,169.85,15.56,71,100,0.89
Son La,21.32,103.9,21.15,55,100,1.75
Champerico,14.3,-91.92,27.14,74,86,1.31
Margate,51.38,1.39,16.11,62,17,3.6
Huilong,31.81,121.66,22.22,28,38,0.45
Khovd,48.01,91.64,10.89,24,29,2.9
Iqaluit,63.75,-68.51,-5,73,90,5.7
Bethel,41.37,-73.41,2.78,79,1,1.56
Fortuna,40.6,-124.16,10.56,93,90,3.6
Mastic Beach,40.77,-72.85,5,64,1,2.9
Faya,18.39,42.45,23,60,23,7.2
Ilulissat,69.22,-51.1,4,55,100,11.8
Asău,46.43,26.4,12.22,45,7,1
Cape Town,-33.93,18.42,18.89,93,75,3.6
Ahipara,-35.17,173.17,20.03,79,68,11.49
Coyhaique,-45.58,-72.07,8,70,75,1.5
College,64.86,-147.8,1.67,68,75,1.02
Almaznyy,48.04,40.05,9,29,20,9
Port Macquarie,-31.43,152.92,19,48,0,3.6
East London,-33.02,27.91,23,60,100,3.6
Fomboni,-12.28,43.74,28.92,75,46,7.04
Isangel,-19.55,169.27,25.66,70,31,2.97
Tasiilaq,65.61,-37.64,-4,68,100,9.8
Kikwit,-5.04,18.82,28.37,63,100,0.85
Hasaki,35.73,140.83,12.78,76,90,6.2
Key West,24.56,-81.78,27.22,78,1,5.1
Kannur,11.87,75.36,35,63,40,2.1
Hirara,24.8,125.28,18,63,75,9.8
Liverpool,53.41,-2.98,12.78,100,100,2.6
Qaqortoq,60.72,-46.03,4,41,100,29.8
Morant Bay,17.88,-76.41,27,74,20,2.6
Jalingo,8.88,11.37,34.39,28,36,1.21
Corner Brook,48.97,-57.95,1,96,40,6.2
Katsuura,35.13,140.3,14,67,75,5.1
Castro,-24.79,-50.01,12.15,71,88,1.87
Vila Velha,-20.33,-40.29,23,83,75,4.1
Pangnirtung,66.15,-65.71,-5.13,90,100,5.13
Ponta do Sol,32.67,-17.1,17,72,75,5.1
Praia,14.92,-23.51,21,83,20,3.6
Hay River,60.82,-115.8,-14,71,20,3.1
São Gabriel da Cachoeira,-0.13,-67.09,22.79,96,100,1.02
Rocha,-34.48,-54.33,11.99,90,13,2.34
Hambantota,6.12,81.12,30.75,67,26,6.08
Okha,53.57,142.95,-1.08,96,99,3.61
Mount Gambier,-37.83,140.77,13,66,90,2.6
Tabora,-5.02,32.8,24.14,50,100,3.81
Bunia,1.57,30.25,28,37,100,0.8
Willowmore,-33.29,23.49,20.63,35,100,13.4
Sørland,67.67,12.69,0.57,90,100,13.9
Oistins,13.07,-59.53,26,74,20,6.7
Port Hawkesbury,45.62,-61.35,2.22,74,90,3.1
Nanortalik,60.14,-45.24,3.04,77,100,16.59
Kemijärvi,66.71,27.43,-0.88,90,100,6.24
Gumdag,39.21,54.59,16.57,36,79,4.83
Husum,54.49,9.05,13.89,54,0,5.1
Klaksvík,62.23,-6.59,2,69,99,10.8
Leningradskiy,69.38,178.42,-9.82,89,100,2.15
Souillac,-20.52,57.52,29,66,40,8.7
Rājākhera,26.9,78.17,40.04,10,0,5.47
Corinth,37.94,22.96,22.22,48,0,2.69
Tshane,-24.02,21.87,27.18,29,0,5.14
Ostrovnoy,68.05,39.51,-4.6,93,0,6.33
Ixtapa,20.7,-105.2,20,88,5,1
Labuhan,-6.88,112.21,29.04,73,100,3.15
Hjelset,62.78,7.48,5.56,86,90,9.8
Aksay,47.26,39.87,9,29,20,9
Kenai,60.55,-151.26,2.78,55,90,4.1
Acapulco de Juárez,16.86,-99.89,23,94,5,1.28
Konëvo,62.12,39.32,2.76,69,0,1.76
Santa Cruz de la Sierra,-17.8,-63.17,17,88,27,2.6
Arkhipo-Osipovka,44.37,38.52,11.83,42,42,4.32
Caravelas,-17.71,-39.25,24.81,86,3,0.69
Ayr,55.46,-4.63,8.33,93,40,1.75
Menzel Kamel,35.62,10.67,16.11,87,0,1
Pevek,69.7,170.31,-13.88,89,4,5.76
Longyearbyen,78.22,15.64,-20,64,20,3.1
Tura,25.52,90.22,32.2,21,78,1.16
Olavarría,-36.89,-60.32,13.89,80,100,0.56
Bilibino,68.05,166.44,-13.48,90,87,0.4
Kahului,20.89,-156.47,23,78,20,3.1
Paamiut,61.99,-49.67,2.97,86,100,1.98
Khromtau,50.25,58.43,11.21,37,39,5.71
Husavik,66.04,-17.34,-1,63,90,3.6
Seddon,-37.81,144.89,14.44,62,90,4.1
Naze,28.37,129.48,19,77,75,6.7
Belyy Yar,53.6,91.39,11,32,0,2
Saint Paul Harbor,57.79,-152.41,4,86,90,9.3
Lorengau,-2.02,147.27,28.87,74,39,2.55
Tahe,52.33,124.73,14.63,37,0,1.72
Sangīn,32.07,64.84,28.28,20,100,2.19
Grindavik,63.84,-22.43,1,80,75,2.1
Jacmel,18.23,-72.53,26,88,1,3.1
Butaritari,3.07,172.79,28.26,78,100,6.53
Bac Ninh,21.18,106.05,19,77,100,2.6
Santa Marta,11.24,-74.2,26.11,84,82,5.89
Glendive,47.11,-104.71,-4.44,73,75,5.7
Los Llanos de Aridane,28.66,-17.92,19,63,75,4.1
Vila Franca do Campo,37.72,-25.43,14,82,20,5.1
Banda Aceh,5.56,95.32,29.82,71,76,1.68
Kichera,55.94,110.1,3.98,56,100,4.02
De Aar,-30.65,24.01,15,51,63,3.6
Egvekinot,66.32,-179.17,-12.04,83,0,1.2
Feltre,46.02,11.91,21.11,77,5,1.48
Banjar,-8.19,114.97,30,70,40,2.1
Saint Anthony,45.02,-93.22,6.67,52,90,4.6
Staroaleyskoye,51.01,82,11.4,39,29,1.03
São Mateus do Sul,-25.87,-50.38,13.96,69,100,0.86
Morganton,35.75,-81.68,9.44,65,75,0.71
Kualakapuas,-3.01,114.39,27,88,40,1
Constantine,36.37,6.61,12,87,40,1
Matagami,49.75,-77.63,-3,79,90,2.6
Yerofey Pavlovich,53.97,121.97,10.04,59,0,0.8
Mana,5.66,-53.78,24.69,84,100,3.95
Aklavik,68.22,-135.01,-6,62,75,2.6
Vryburg,-26.96,24.73,26.36,25,0,6.56
Kupang,-10.17,123.58,29,74,20,3.1
Ketchikan,55.34,-131.65,6,69,1,3.1
New Norfolk,-42.78,147.06,15,58,75,7.7
Río Cauto,20.56,-76.92,22,94,20,3.1
Muzhi,65.37,64.67,-3.89,92,98,2.46
Sioux Lookout,50.1,-91.92,-3,73,90,5.1
Al Bardīyah,31.76,25.09,17.79,50,6,2.3
Lebyazh'ye,55.27,66.49,12.18,48,100,8.01
Norman Wells,65.28,-126.83,-4,45,75,3.1
Marawi,8,124.29,24.2,63,43,1.79
Dallas,32.77,-96.78,21.11,88,90,7.2
Pathein,16.78,94.73,34.86,31,100,5.82
Manaus,-3.1,-60.02,23,100,20,1
Ishinomaki,38.42,141.3,11,66,20,6.7
Yangi Marg`ilon,40.43,71.72,21,37,99,3.1
Mahenge,-8.68,36.72,21.05,74,99,1.03
Scarborough,54.28,-0.4,12.78,93,99,2.66
Lompoc,34.64,-120.46,13.33,81,90,3.1
Tessalit,20.2,1.01,35.77,8,0,5.38
Padang,-0.95,100.35,28.86,72,82,0.84
Jumla,29.27,82.18,20,88,5,0.45
Vestmannaeyjar,63.44,-20.27,4.51,84,100,6.82
Victor Harbor,-35.57,138.62,16.11,55,100,4.1
Winburg,-28.52,27.01,24.24,24,0,6.82
Domoni,-12.26,44.53,28.71,73,46,5.07
Rome,43.21,-75.46,2.22,79,1,2.71
Along,28.17,94.77,30.56,23,42,1.2
Krasnoarmeysk,51.02,45.7,0.56,96,100,8.49
Artyom,40.47,50.33,13,71,75,11.3
São João da Barra,-21.64,-41.05,21.01,92,98,4.86
Luba,3.46,8.55,27.61,70,73,2.87
Merauke,-8.47,140.33,27.53,85,100,3.06
Izumo,35.37,132.77,8,87,75,10.8
Ca Mau,9.18,105.15,31.61,56,58,0.84
Saltpond,5.21,-1.06,29.2,72,75,2.77
Gondanglegi,-7.75,112.01,29.31,70,100,3.19
Vostok,46.49,135.88,5.39,47,41,2.03
Payo,-3.75,103.64,29.62,76,72,0.71
Carutapera,-1.2,-46.02,26.2,85,100,2.41
Fukuechō,32.69,128.84,13,71,75,9.3
Saqqez,36.25,46.27,11.98,32,57,5.66
Petropavlovsk-Kamchatskiy,53.05,158.65,2,59,40,6
Barinas,8.62,-70.21,25.27,53,96,1.23
Viedma,-40.81,-63,9.38,59,100,1.17
Dalton,34.77,-84.97,13.33,66,1,2.21
Clyde River,70.47,-68.59,-17,91,75,1
Santo Tomas,14.11,121.14,32.78,62,75,5.7
Chilca,-12.52,-76.74,21,83,75,4.1
Spring Hill,28.48,-82.53,24,73,1,3.6
Cairns,-16.92,145.77,29.44,66,30,2.1
Antalaha,-14.9,50.28,28.21,72,23,5.03
Wad Rāwah,15.16,33.14,34.53,9,56,8.74
Dogondoutchi,13.64,4.03,34.63,12,25,5.13
Ponta Delgada,37.73,-25.67,14,82,20,5.1
São Félix do Xingu,-6.64,-51.99,22.54,92,100,0.29
Ouégoa,-20.35,164.43,25.07,74,10,2.28
Peniche,39.36,-9.38,15,93,40,0.5
Yemtsa,63.07,40.33,1.77,73,0,1.57
Mossamedes,-15.2,12.15,26.85,57,1,1.1
Neiafu,-18.65,-173.98,25.89,77,8,7.39
Torbay,47.67,-52.73,0.56,96,5,6.7
Khalkhāl,37.62,48.53,5,45,95,1.81
Beringovskiy,63.05,179.32,-11.23,95,100,4.39
Punakha,27.58,89.86,23.59,19,80,2.34
Muli,2.92,73.57,29.86,63,95,3.2
Ballina,-28.87,153.57,20,64,12,4.1
Tete,-16.16,33.59,32.16,40,80,1.18
Yuanping,38.72,112.76,17.71,16,0,4.98
Araouane,18.9,-3.53,35.97,12,32,5.91
Malmo,55.61,13,12.78,66,97,5.1
Luanda,-8.84,13.23,28,78,75,3.6
Barra dos Coqueiros,-10.91,-37.04,26.24,83,47,3.03
Muros,42.78,-9.06,12.78,100,90,2.1
São Filipe,14.9,-24.5,23.53,76,94,3.84
Oranjemund,-28.55,16.43,22.12,60,33,1.12
Doka,13.52,35.77,36.86,12,61,4.72
Mayo,38.89,-76.51,9.44,87,1,2.76
Iquique,-20.22,-70.14,21,68,90,3.6
Tabou,4.42,-7.35,28.33,78,48,0.57
Haridwar,29.97,78.17,36.73,13,100,3.31
Cockburn Town,21.46,-71.14,25.67,82,2,5.89
Waipawa,-41.41,175.52,19,59,98,11.8
Épernay,49.05,3.95,16.11,81,33,2.88
Riviere-au-Renard,49,-64.4,-2,68,5,2.6
Sāyla,22.55,71.47,40.81,9,2,5.72
Namatanai,-3.67,152.43,28.65,73,95,2.77
Lensk,60.73,114.93,3.37,69,94,3.26
Mathbaria,22.29,89.96,31.6,48,32,8.94
Maniwaki,46.38,-75.97,-1.75,93,97,2.19
Guerrero Negro,27.98,-114.06,15.25,78,12,6.14
Balsas,-7.53,-46.04,23.08,86,100,1.37
Xudat,41.63,48.68,8.57,76,100,0.98
Pemangkat,1.17,108.97,28.13,82,88,4.91
Antofagasta,-23.65,-70.4,18,77,90,2.1
Moerai,-22.43,-151.33,27.32,82,16,1.92
Baruun-Urt,46.68,113.28,15.85,16,0,6.05
Kortkeros,61.81,51.58,0,88,20,3
Inverell,-29.78,151.12,19.44,49,0,1.15
Hobyo,5.35,48.53,31.32,59,76,4.74
Grand Gaube,-20.01,57.66,29,66,40,8.7
Dudinka,69.41,86.18,-7,92,75,10
General Roca,-39.03,-67.58,12,66,80,1
Port-Gentil,-0.72,8.78,26,88,20,3.83
Saldanha,-33.01,17.94,18,93,15,1
Port Hardy,50.7,-127.42,2,74,5,1.5
Jumilla,38.48,-1.32,16.67,93,98,0.5
Tricase,39.93,18.36,18.33,59,5,2.1
Dakar,14.69,-17.44,21,94,64,4.65
Yuza,39,139.92,10,71,75,4.1
Tocopilla,-22.09,-70.2,18.84,53,30,0.53
Chapaevsk,52.98,49.71,10,69,40,4
Fécamp,49.76,0.37,17.22,76,0,1.5
Oktyabr'skiy,54.48,53.47,11.48,42,84,6.71
Caldwell,43.66,-116.69,7,26,1,5.7
Tuy Hoa,13.08,109.3,28.63,71,67,4.53
Ürümqi,43.8,87.6,18,19,3,2
Bystryy Istok,52.37,84.39,9.52,51,0,3.77
Kot Diji,27.34,68.71,37,27,21,4.1
Ndola,-12.96,28.64,24.56,44,97,2.65
Rafaela,-31.25,-61.49,15.56,60,43,0.45
Acaponeta,22.5,-105.36,15.9,60,23,1.19
Buta,2.79,24.73,22.82,85,100,1.66
Krasnosel'kup,65.7,82.47,-0.72,99,100,1.25
Sinegor'ye,62.08,150.48,-7.25,87,9,1.83
Ola,59.58,151.28,-7.01,94,27,1.82
George Town,5.41,100.34,34,67,40,3.1
Māngrol,21.12,70.12,33.78,34,0,6.01
Pierre,44.37,-100.35,-0.56,86,90,9.3
Willmar,45.12,-95.04,3,80,90,7.2
Baijiantan,45.63,85.18,20.24,22,30,2.18
Tommot,58.96,126.29,2.93,70,100,3.83
Sharan,54.82,54,11.41,42,98,6.34
Nemuro,43.32,145.57,4,51,20,2.1
Touros,-5.2,-35.46,24,94,40,2.1
Kimbe,-5.55,150.14,26.26,84,80,0.85
Richards Bay,-28.78,32.04,29.18,47,0,4.04
Kuala Kedah,6.1,100.3,34,71,40,4.1
Cabo San Lucas,22.89,-109.91,17.22,72,36,1.79
Paragominas,-2.97,-47.48,22.89,96,100,1
Linxia Chengguanzhen,35.6,103.21,15.35,15,96,4.2
Bauchi,10.5,10,32.31,10,96,4.33
Mandalgovi,45.76,106.27,12.66,18,99,7.15
Nioro,13.35,-15.75,25.71,53,22,2.17
Vrangel',42.73,133.08,5.33,66,0,2.86
Elban,50.1,136.51,10.25,43,0,2.35
Lebu,-37.62,-73.65,8.21,80,2,4.35
Tiksi,71.69,128.87,-16.51,89,27,3.13
Plaster Rock,46.91,-67.39,-2,73,1,1.5
Cabras,39.93,8.53,19.83,36,52,2.29
Vao,-22.67,167.48,25.4,77,32,5.68
Palu,-0.89,119.87,29.38,61,4,1.34
Esperance,-33.87,121.9,26,57,81,5.1
Kruisfontein,-34,24.73,23.11,48,100,11.13
Hazorasp,41.32,61.07,17,51,46,4.1
Miyako,39.64,141.95,7.48,76,94,2.45
Half Moon Bay,37.46,-122.43,13.33,93,90,2.1
San Policarpo,12.18,125.51,28.31,66,55,3.48
Hualmay,-11.1,-77.61,21.74,82,4,3.13
Havøysund,71,24.66,-1,54,100,3.6
Urengoy,65.97,78.37,-2.6,95,100,3.25
Natal,-5.79,-35.21,24,94,40,2.1
Bambous Virieux,-20.34,57.76,29,66,40,8.7
Uvalde,29.37,-99.77,23.33,100,90,3.1
Mehamn,71.04,27.85,-2.34,93,100,4.12
Bartlesville,36.75,-95.98,16,82,20,4.1
Gohpur,26.88,93.63,30,45,75,3.6
Guhāgar,17.48,73.19,32.88,49,0,6.66
Nome,64.5,-165.41,-1,92,90,4.6
Bulgan,48.81,103.53,14.05,20,28,2.67
Talnakh,69.49,88.4,-7,92,75,10
Pareora,-44.49,171.21,17.78,45,100,2.24
Bilma,18.69,12.92,31.75,11,100,4.89
Sangar,63.92,127.47,0.03,90,69,6.86
Cayenne,4.93,-52.33,26,83,89,1.5
Griffith,41.53,-87.42,10,81,90,2.6
Bodden Town,19.28,-81.25,27.22,88,20,2.6
Khorinsk,52.17,109.77,12.42,34,51,5.63
Bereda,43.27,-7.54,13.89,100,90,0.54
Borba,-4.39,-59.59,23.03,98,93,0.47
Lieksa,63.32,30.02,2.75,70,100,6.85
Barsovo,61.17,73.17,12,37,94,5
Burgeo,47.62,-57.62,-0.29,96,38,6.79
Loíza,18.43,-65.88,27,88,20,3.51
Zhezkazgan,47.8,67.71,12,58,90,3
California City,35.13,-117.99,14,58,40,5.7
Avila,40.58,-5,11,93,72,1.5
Upata,8.01,-62.4,19.85,82,100,2.87
Atbasar,51.8,68.33,13.6,45,30,4.76
Ciudad Guayana,8.35,-62.65,21.19,88,100,2.48
Shawville,45.6,-76.48,0.56,85,71,1.77
Salta,-24.79,-65.41,11,93,0,1
Westerly,41.38,-71.83,4.44,78,1,0.87
Shimoda,34.67,138.95,12,81,75,6.2
Benguela,-12.58,13.41,28.38,67,42,0.99
Borda da Mata,-22.27,-46.17,13.89,92,2,0.65
Brae,60.4,-1.35,6,75,100,10.8
Nautla,20.22,-96.78,26.33,75,0,5.68
Ashland,40.82,-82.27,9.44,42,90,3.6
Nebolchi,59.12,33.35,4.7,61,63,2.85
Piancó,-7.2,-37.93,22.49,85,92,0.92
Saravan,39.72,45.65,12,46,75,2.1
San Quintín,30.48,-115.95,14.43,82,47,5.74
Yankton,42.87,-97.4,1,86,90,8.7
Belmonte,-15.86,-38.88,24,94,75,2.6
Iquitos,-3.75,-73.25,24,94,40,1
Lagoa,39.05,-27.98,15.92,79,3,4.18
Daru,-9.08,143.21,26.91,84,66,4.4
North Myrtle Beach,33.82,-78.68,20,77,20,2.1
Hong Kong,22.29,114.16,25.56,46,6,6.7
Flinders,-34.58,150.86,18.33,48,0,4.1
Ābādān,30.34,48.3,30,17,0,4.1
Bubaque,11.28,-15.83,25.69,70,0,1.9
Can Tho,10.03,105.78,33.77,48,78,3.93
Bermeo,43.42,-2.72,15,100,75,0.5
São Lourenço do Sul,-31.37,-51.98,14.46,90,13,2.44
Casa Nova,-9.42,-41.13,23.7,76,100,3.42
Nuuk,64.18,-51.72,4,86,100,7.7
Westport,41.14,-73.36,7.78,74,1,2.18
Olinda,-8.01,-34.86,28,74,20,1.5
Aykhal,66,111.5,3,47,92,4
Okhotsk,59.38,143.3,-2.6,95,85,3.41
Simao,22.79,100.97,28.83,18,97,2.74
San Cristobal,7.77,-72.22,19.79,61,91,0.95
Kusa,55.34,59.44,6.93,67,91,2.86
Bathsheba,13.22,-59.52,26,74,20,6.7
Khorixas,-20.37,14.97,28.57,32,0,4.56
Xai-Xai,-25.05,33.64,29.98,48,0,2.92
Niamey,13.51,2.11,30,22,2,1
Arlit,18.74,7.39,36.2,8,0,6.78
Kristinestad,62.27,21.38,3.89,93,100,7.39
Yuli,9.7,10.27,32.77,22,97,1.49
Tautira,-17.73,-149.15,28,74,20,1
Guozhen,34.37,107.36,20.87,17,0,3.09
Najrān,17.49,44.13,31,22,35,1.51
Sokolo,14.73,-6.12,33.09,32,50,7.1
Haapiti,-17.57,-149.87,28,74,20,1
Xingcheng,40.62,120.72,15.77,30,0,3.22
Malakal,9.53,31.66,37.96,7,85,4.21
Sumbe,-11.21,13.84,26.24,83,100,3.55
Oriximiná,-1.77,-55.87,23.9,94,31,1.36
Juneau,58.3,-134.42,2.78,80,1,1.54
High Prairie,55.43,-116.49,-10.01,88,10,2.88
Deputatsky,69.3,139.9,-12.12,89,35,3.79
Matara,5.95,80.54,30.9,67,13,4.26
Zyryanka,65.75,150.85,-2.53,96,95,3.32
Sola,-13.88,167.55,27.6,75,100,5.36
Point Pedro,9.82,80.23,29.8,67,8,4.78
Kushmurun,52.45,64.63,12.42,42,10,2.1
Nawabshah,26.25,68.41,42.54,7,18,5.37
Alegrete,-29.78,-55.79,12.06,90,4,3.64
Ancud,-41.87,-73.82,2,100,0,2.1
Mwense,-10.38,28.7,25.86,50,91,2.49
Jiaozuo,35.24,113.23,22.37,18,0,4.14
Altamira,-3.2,-52.21,22.28,95,47,0.5
Port Hedland,-20.32,118.57,32,55,37,8.7
Anadyr,64.75,177.48,-12,78,90,7
Yatou,37.15,122.38,9.42,66,0,7.11
Guáimaro,21.05,-77.35,21.21,92,0,3.36
Jijiga,9.35,42.8,25.56,29,53,3.16
Assiut,27.18,31.18,24.33,24,0,5.27
Chiang Khong,20.26,100.4,36.67,34,94,2.19
Meulaboh,4.14,96.13,29.16,74,100,1.55
Luwuk,-0.95,122.79,30.07,63,15,1.07
Broadstairs,51.36,1.44,16.11,62,25,3.6
Sayyan,15.17,44.32,22.59,20,32,1.8
Worthington,40.09,-83.02,9.44,49,90,2.6
New Philadelphia,40.49,-81.45,9,69,1,1.5
Le Port,-20.94,55.29,27,88,30,7.2
Malinyi,-8.93,36.13,25.63,77,98,0.13
Kalmunai,7.42,81.82,31.1,63,19,4.35
Saryg-Sep,51.5,95.6,10.31,42,100,1.57
Carauari,-4.88,-66.9,22.35,97,100,0.92
Bria,6.54,21.99,26.22,68,100,2.12
Damietta,31.42,31.81,18.93,58,0,1.97
Gariāband,20.64,82.06,40.83,7,0,4
Sikonge,-5.63,32.77,24.6,50,100,3.02
Lapua,62.97,23.01,1.67,93,90,6.2
Yārāda,17.65,83.27,36,47,20,5.1
